propertyCode,numPhotos,floor,price,propertyType,size,exterior,rooms,bathrooms,distance,hasVideo,status,newDevelopment,hasLift,hasPlan,has3DTour,has360,hasStaging,topPlus,highlight.groupDescription,parkingSpace.hasParkingSpace,price_m2_oct24,monthly_var,quart_var,annual_var,price_m2_historical_max,var_from_max,rooms+bathrooms,room.to.size.ratio,room+bathrooms.to.size.ratio,amenity.score,neighborhood_El Besòs,neighborhood_El Camp d'En Grassot i Gràcia Nova,neighborhood_El Carmel,neighborhood_El Clot,neighborhood_El Coll,neighborhood_El Congrés i els Indians,neighborhood_El Gòtic,neighborhood_El Poble Sec - Parc de Montjuïc,neighborhood_El Poblenou,neighborhood_El Putxet i el Farró,neighborhood_Horta,neighborhood_L'Antiga Esquerra de l'Eixample,neighborhood_La Barceloneta,neighborhood_La Dreta de l'Eixample,neighborhood_La Maternitat i Sant Ramon,neighborhood_La Nova Esquerra de l'Eixample,neighborhood_La Prosperitat,neighborhood_La Sagrada Família,neighborhood_La Sagrera,neighborhood_La Salut,neighborhood_La Teixonera,neighborhood_Les Roquetes,neighborhood_Les Tres Torres,neighborhood_Pedralbes,neighborhood_Provençals del Poblenou,neighborhood_Sant Antoni,neighborhood_Sant Gervasi - Galvany,neighborhood_Sant Pere - Santa Caterina i la Ribera,neighborhood_Sants,neighborhood_Sants - Badal,neighborhood_Sarrià,neighborhood_Vallcarca i els Penitents,neighborhood_Verdun,neighborhood_Vila de Gràcia,neighborhood_Vilapicina i la Torre Llobeta,district_Eixample,district_Gràcia,district_Horta Guinardó,district_Les Corts,district_Nou Barris,district_Sant Andreu,district_Sant Martí,district_Sants-Montjuïc,district_Sarrià-Sant Gervasi
105053861,40,0.0,180000,1,64.0,1,3,1,4441,1,1,0,0,1,0,1,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,4,0.046875,0.0625,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
105520461,32,5.0,340000,2,69.0,1,3,1,5994,1,1,0,1,1,0,0,0,0,0.0,0,2466,0.002,0.029,0.026,2941,-0.162,4,0.043478260869565216,0.057971014492753624,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
106439685,54,4.0,710000,1,99.0,1,4,2,1314,0,1,0,1,1,0,0,0,0,0.0,1,5674,0.003,0.026,0.122,5674,0.0,6,0.04040404040404041,0.06060606060606061,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105443779,26,5.0,345000,1,80.0,1,4,1,2593,0,2,0,1,0,0,0,0,0,0.0,0,5674,0.003,0.026,0.122,5674,0.0,5,0.05,0.0625,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106623026,26,1.0,370000,1,76.0,0,3,1,3117,0,1,0,1,0,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,4,0.039473684210526314,0.05263157894736842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
106714707,24,1.0,364900,1,90.0,1,4,1,4831,1,1,0,1,0,0,0,0,0,0.0,0,2466,0.002,0.029,0.026,2941,-0.162,5,0.044444444444444446,0.05555555555555555,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
102814179,16,1.0,84000,1,40.0,1,2,1,6951,1,1,0,0,0,0,0,0,0,0.0,0,2466,0.002,0.029,0.026,2941,-0.162,3,0.05,0.075,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
105999561,23,1.0,345000,1,92.0,1,4,2,4413,0,1,0,1,0,0,0,0,0,0.0,0,3536,0.02,0.049,0.128,3536,0.0,6,0.043478260869565216,0.06521739130434782,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
106091266,18,1.0,365000,1,73.0,1,4,1,2070,0,2,0,0,0,0,0,0,0,0.0,0,4973,0.002,0.002,0.088,4973,0.0,5,0.0547945205479452,0.0684931506849315,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106742810,30,1.0,330000,2,87.0,1,2,1,6023,0,1,0,1,0,0,0,0,0,0.0,0,2466,0.002,0.029,0.026,2941,-0.162,3,0.022988505747126436,0.034482758620689655,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
106396696,21,2.0,420000,1,83.0,1,4,2,3454,0,1,0,1,0,0,0,0,0,0.0,1,4973,0.002,0.002,0.088,4973,0.0,6,0.04819277108433735,0.07228915662650602,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
106179232,20,-1.0,168000,1,35.0,1,1,1,1468,0,1,0,0,0,0,0,0,0,0.0,0,4571,0.018,0.036,0.061,4600,-0.006,2,0.02857142857142857,0.05714285714285714,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106407676,19,1.0,178000,1,67.0,1,3,1,4675,0,2,0,1,0,0,0,0,0,0.0,0,3442,0.014,0.035,0.072,3442,0.0,4,0.04477611940298507,0.05970149253731343,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106378393,21,2.0,360000,1,65.0,0,2,1,2529,1,1,0,1,0,0,0,0,0,0.0,0,5674,0.003,0.026,0.122,5674,0.0,3,0.03076923076923077,0.046153846153846156,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
101273646,14,1.0,790000,1,153.0,1,3,2,3917,0,1,0,1,0,0,0,0,0,0.0,0,5900,0.015,0.01,0.059,5900,0.0,5,0.0196078431372549,0.032679738562091505,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
101119042,15,-1.0,147000,1,80.0,1,3,1,4530,0,1,0,1,0,0,0,0,0,0.0,0,3442,0.014,0.035,0.072,3442,0.0,4,0.0375,0.05,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106305360,14,7.0,715000,2,110.0,1,3,2,3134,0,1,0,1,0,0,0,0,0,0.0,0,5900,0.015,0.01,0.059,5900,0.0,5,0.02727272727272727,0.045454545454545456,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106124057,13,2.0,285000,1,70.0,1,3,1,4757,0,1,0,1,0,0,0,0,0,0.0,0,4321,0.037,0.036,0.141,4321,0.0,4,0.04285714285714286,0.05714285714285714,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
104887672,1,-1.0,256700,1,101.0,0,3,1,4959,0,1,0,1,0,0,0,0,0,0.0,0,2466,0.002,0.029,0.026,2941,-0.162,4,0.0297029702970297,0.039603960396039604,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
104913058,1,1.0,207800,1,56.0,0,1,1,2613,0,1,0,0,0,0,0,0,0,0.0,0,4321,0.037,0.036,0.141,4321,0.0,2,0.017857142857142856,0.03571428571428571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
103066750,1,1.0,207800,1,56.0,0,1,1,2859,0,1,0,0,0,0,0,0,0,0.0,0,4321,0.037,0.036,0.141,4321,0.0,2,0.017857142857142856,0.03571428571428571,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
105813352,18,0.0,375000,1,80.0,1,3,1,1703,1,1,0,1,1,0,0,0,0,1.0,0,5674,0.003,0.026,0.122,5674,0.0,4,0.0375,0.05,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
104001463,22,3.0,280000,1,74.0,0,3,1,4028,1,1,0,1,1,0,0,0,1,3.0,0,3882,0.011,0.04,0.094,3929,-0.012,4,0.04054054054054054,0.05405405405405406,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106158826,36,4.0,705130,1,137.0,1,5,2,3892,1,1,0,1,1,0,1,1,0,2.0,1,5724,0.018,0.036,0.137,5724,0.0,7,0.0364963503649635,0.051094890510948905,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
106316752,32,-1.0,205000,1,50.0,1,2,1,3569,1,2,0,0,1,0,1,0,0,2.0,0,3882,0.011,0.04,0.094,3929,-0.012,3,0.04,0.06,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
106483075,26,6.0,520000,1,95.0,0,2,2,2576,0,1,0,1,1,0,1,0,0,2.0,0,5674,0.003,0.026,0.122,5674,0.0,4,0.021052631578947368,0.042105263157894736,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106567883,28,3.0,430000,1,110.0,1,3,2,1948,0,2,0,1,1,0,0,1,0,2.0,0,5674,0.003,0.026,0.122,5674,0.0,5,0.02727272727272727,0.045454545454545456,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
105934208,21,2.0,285000,1,59.0,0,2,1,3553,0,1,0,1,0,0,0,0,0,2.0,0,3442,0.014,0.035,0.072,3442,0.0,3,0.03389830508474576,0.05084745762711865,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
106704524,28,1.0,500000,1,120.0,1,4,2,3127,0,1,0,1,1,0,0,0,0,2.0,0,4973,0.002,0.002,0.088,4973,0.0,6,0.03333333333333333,0.05,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
106344440,41,5.0,172000,1,30.0,1,1,1,783,1,1,0,0,1,0,0,0,0,2.0,0,4571,0.018,0.036,0.061,4600,-0.006,2,0.03333333333333333,0.06666666666666667,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106352888,25,5.0,625000,1,100.0,1,4,2,1465,1,1,0,1,1,0,1,0,0,2.0,0,5674,0.003,0.026,0.122,5674,0.0,6,0.04,0.06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
106570209,25,3.0,215000,1,70.0,1,3,1,6455,1,1,0,1,1,0,0,0,0,2.0,0,2466,0.002,0.029,0.026,2941,-0.162,4,0.04285714285714286,0.05714285714285714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
105988921,38,2.0,255000,1,45.0,1,1,2,434,1,1,0,0,1,0,1,0,0,2.0,0,4571,0.018,0.036,0.061,4600,-0.006,3,0.022222222222222223,0.06666666666666667,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
